City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Caravelas,BR,74.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
81,Nanchang,CN,77.88,clear sky,28.6833,115.8833,Gloria Plaza Hotel Nanchang
84,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
95,Pouebo,NC,70.05,broken clouds,-20.4,164.5667,RIVÂT LODGE
96,Faanui,PF,77.56,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Vila Praia De Ancora,PT,75.49,clear sky,41.811,-8.8526,Hotel Meira
101,Dingle,PH,77.86,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
104,Arraial Do Cabo,BR,71.56,mist,-22.9661,-42.0278,Pousada Porto Praia
108,Bengkulu,ID,74.64,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Impfondo,CG,74.37,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
112,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
113,Sokolka,PL,72.66,broken clouds,53.4072,23.5023,Restauracja i Pokoje Gościnne Verde
114,Japura,ID,71.42,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
115,Guerrero Negro,MX,80.82,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
116,Auki,SB,78.62,few clouds,-8.7676,160.7034,Auki Motel
117,Aleksandrov Gay,RU,73.94,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
120,Maebaru,JP,78.76,clear sky,33.55,130.2,Guest house Kotonoha
121,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
123,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
127,Road Town,VG,83.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
128,Hambantota,LK,80.06,overcast clouds,6.1241,81.1185,Bungalow 63
130,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,Ducheng,CN,78.17,scattered clouds,23.2373,111.5317,Xinyongguang Hotel
136,Kavieng,PG,82.15,light rain,-2.5744,150.7967,Nusa Island Retreat
143,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
146,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
150,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
151,Tezu,IN,77.22,overcast clouds,27.9167,96.1667,Circuit House
153,Puri,IN,79.25,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
161,Souillac,MU,70.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
165,Salinopolis,BR,80.82,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
166,Jhang,PK,76.6,overcast clouds,33.6748,72.6963,Bismallah sentory store
171,Kudahuvadhoo,MV,81.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
173,Simdega,IN,74.1,moderate rain,22.6167,84.5167,Circuit House
174,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
175,Dongying,CN,72.61,moderate rain,37.4564,118.4856,Wanda Realm
176,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
179,Bardiyah,LY,80.06,clear sky,31.7561,25.0865,بورتو بردية
180,Anloga,GH,77.22,scattered clouds,5.7947,0.8973,Pin Drop Hotel
194,Puerto Carreno,CO,84.63,light rain,6.189,-67.4859,Casa Hotel Victoria
